id,naziv,opis,cijena,kolicina,id_kategorija,id_dobavljac
1,USB kabel 1m,"""Kvalitetni USB 2.0 kabel, dužine 1 metar""",4.47,478,4,9
2,Kava mljevena 250g,"""Aromatična mljevena kava, pakiranje 250 g""",4.09,336,1,1
3,Čokolada tamna 100g,"""Tamna čokolada s 70% kakaa, 100 g""",2.47,374,1,1
4,Sapun tekući 500ml,"""Antibakterijski tekući sapun, 500 ml""",1.23,473,3,6
5,Šampon za kosu 400ml,"""Šampon za svakodnevnu njegu kose, 400 ml""",6.38,338,3,6
6,Pasta za zube 75ml,"""Zubna pasta s fluorom, 75 ml""",2.28,362,3,6
7,Papir za pečenje 10m,"""Neljepljivi papir za pečenje, rola 10 m""",3.64,259,3,6
8,Riža 1kg,"""Dugozrnata bijela riža, pakiranje 1 kg""",3.6,423,1,1
9,Tjestenina fusilli 500g,"""Sušena tjestenina fusilli, 500 g""",2.36,280,1,1
10,Maslinovo ulje 1l,"""Ekstra djevičansko maslinovo ulje, 1 l""",11.18,93,1,1
11,Sok od naranče 1l,"""100% prirodni sok od naranče, 1 l""",2.04,401,2,5
12,Voda gazirana 1.5l,"""Prirodna mineralna voda s mjehurićima, 1.5 l""",0.87,401,2,5
13,Pivo lager 0.5l,"""Hladno filtrirani lager, boca 0.5 l""",1.67,340,2,5
14,Vino bijelo 0.75l,"""Suho bijelo vino, butelja 0.75 l""",6.86,262,2,5
15,Sir gauda 250g,"""Polutvrdi sir Gauda, pakiranje 250 g""",3.31,77,1,1
16,Jogurt natur 180g,"""Prirodni jogurt bez dodataka, 180 g""",1.05,257,1,1
17,Jaja L klasa 10kom,"""Svježa kokošja jaja L kategorije, 10 kom""",3.27,288,1,1
18,Maslac 250g,"""Mliječni maslac, 250 g""",3.5,401,1,1
19,Marmelada jagoda 370g,"""Domaća marmelada od jagode, 370 g""",3.31,60,1,1
20,Med cvjetni 900g,"""Prirodni cvjetni med, staklenka 900 g""",8.94,463,1,2
21,Mlijeko 2.8% 1l,"""Svježe mlijeko 2.8% m.m., 1 l""",1.07,141,1,2
22,Toaletni papir 3 sloja 8/1,"""Toaletni papir, troslojni, 8 rola""",3.71,232,3,6
23,Papirnate maramice 10x10,"""Papirnate maramice, pakiranje 10x10""",1.65,366,3,6
24,Aluminijska folija 20m,"""Aluminijska kuhinjska folija, 20 m""",2.47,493,3,6
25,Detergent za posuđe 900ml,"""Tekući detergent za ručno pranje posuđa, 900 ml""",2.22,448,3,6
26,Tablete za perilicu posuđa 60kom,"""All-in-one tablete za perilicu, 60 kom""",7.84,236,3,6
27,Sredstvo za čišćenje kupaonice 750ml,"""Sredstvo protiv kamenca za kupaonice, 750 ml""",3.8,329,3,6
28,Krpa mikrofiber 2/1,"""Mikrofiber krpe za čišćenje, 2 kom""",1.86,45,3,7
29,Baterije AA 4/1,"""Alkalne AA baterije, pakiranje 4 kom""",2.81,99,4,9
30,Žarulja LED 9W E27,"""LED žarulja 9W, grlo E27""",3.44,260,4,9
31,Produžni kabel 3m 4 utič.,"""Produžni kabel s 4 utičnice, 3 m""",10.38,380,4,9
32,Punjač USB 2A,"""Mrežni punjač s USB izlazom 2A""",12.78,467,4,9
33,Tipkovnica USB,"""Membranska USB tipkovnica""",13.53,246,4,9
34,Miš optički USB,"""Optički USB miš, 1600 DPI""",10.78,284,4,9
35,Slusalice in-ear,"""In-ear slušalice s mikrofonom""",11.16,399,4,9
36,Powerbank 10000mAh,"""Prijenosna baterija 10000 mAh""",22.42,164,4,9
37,Notna bilježnica A4,"""A4 bilježnica s notnim crtovljem""",3.53,121,5,12
38,Kemijska olovka plava,"""Plava kemijska olovka, 0.7 mm""",0.83,292,5,12
39,Blok samoljepljivih papirića 76x76,"""Samoljepljivi papirići 76x76 mm, 100 listova""",2.27,72,5,12
40,Flomaster set 12 boja,"""Set flomastera, 12 boja""",5.47,383,5,12
41,Fascikl plastificirani A4,"""Plastični fascikl A4 s gumicom""",2.12,119,5,12
42,Sveska A5 karo 80l,"""Školska sveska A5 karo, 80 listova""",1.37,441,5,12
43,Karton mapar A4,"""Karton mapar A4 za dokumente""",1.3,387,5,12
44,Ljepljiva traka 19mm/33m,"""Prozirna ljepljiva traka 19 mm x 33 m""",1.07,48,5,12
45,Prijenosni disk 1TB,"""Vanjski tvrdi disk 1 TB, USB 3.0""",64.76,327,4,9
46,Memorijska kartica 64GB,"""microSD memorijska kartica 64 GB, class 10""",16.2,198,4,10
47,Router Wi-Fi 300Mbps,"""Bežični router 300 Mbps""",20.72,228,4,10
48,Toner HP 85A,"""Originalni toner HP 85A (CE285A)""",52.63,359,4,10
49,Papir za printer A4 80g 500listova,"""Papir za ispis A4 80 g, 500 listova""",3.94,207,5,12
50,Marker trajni crni,"""Trajni marker crne boje, okrugli vrh""",3.76,19,5,12
51,Kuhinjski nož 20cm,"""Univerzalni kuhinjski nož od nehrđajućeg čelika, oštrica 20 cm""",9.62,157,3,7
52,Tava teflon 24cm,"""Neljepljiva tava s teflonskim premazom, promjer 24 cm""",14.38,112,3,7
53,Pokrivalo silikon 3/1,"""Silikonska pokrivala za hranu, set od 3 različite veličine""",4.95,297,3,7
54,Kava instant 200g,"""Instant kava premium, staklenka 200 g""",6.79,207,1,2
55,Pekmez od šljiva 370g,"""Domaći pekmez od šljiva bez dodanog šećera, 370 g""",3.89,83,1,2
56,Čips slani 150g,"""Krumpirov čips s morskom soli, 150 g""",2.18,321,1,2
57,Keksi integralni 250g,"""Hrskavi integralni keksi s cjelovitim žitaricama, 250 g""",2.94,264,1,2
58,Piletina file 500g,"""Svježi pileći file, pakiranje 500 g""",4.72,142,1,2
59,Losos filet 250g,"""Filet atlantskog lososa, vakuum pakiranje 250 g""",6.43,61,1,2
60,Sir feta 200g,"""Bijeli meki sir feta, 200 g""",2.98,123,1,2
61,Smoothie bobičasti 250ml,"""Hladno prešani smoothie od bobičastog voća, 250 ml""",1.97,295,2,5
62,Energetsko piće 0.25l,"""Gazirano energetsko piće s kofeinom, limenka 0.25 l""",1.13,414,2,5
63,Voda negazirana 0.5l,"""Prirodna izvorska voda bez plina, bočica 0.5 l""",0.53,532,2,5
64,Vino crno 0.75l,"""Suho crno vino, butelja 0.75 l""",7.25,77,2,5
65,Rakija šljivovica 0.7l,"""Tradicionalna rakija od šljive, 0.7 l""",12.44,266,2,5
66,Omekšivač rublja 1l,"""Koncentrirani omekšivač za rublje, miris lavande, 1 l""",2.86,302,3,7
67,Detergent za rublje 3l,"""Tekući deterdžent za strojno pranje rublja, 3 l""",7.31,157,3,7
68,Čistač stakla 500ml,"""Sredstvo za čišćenje i sjaj staklenih površina, 500 ml""",1.98,264,3,7
69,Mrežica za voće 5kg,"""Pamučna mrežasta torba za višekratnu kupovinu voća, nosivost 5 kg""",1.64,338,3,7
70,Rukavice pamučne 1par,"""Pamučne rukavice za kućanske poslove, par""",0.89,411,3,7
71,USB-C kabel 2m,"""Brzi USB-C na USB-A kabel, dužine 2 m""",5.26,385,4,10
72,Adapter HDMI-VGA,"""Adapter s HDMI muški na VGA ženski izlaz""",8.14,122,4,10
73,Punjač bežični 10W,"""Qi bežični punjač snage 10 W""",14.79,257,4,10
74,SSD disk 512GB,"""Interni SSD 2.5 inča 512 GB, SATA III""",49.68,65,4,10
75,Torba za laptop 15.6 inča,"""Zaštitna torba za laptop do 15.6 inča, vodootporna""",18.22,168,4,10
76,Web kamera 1080p,"""USB web kamera Full HD 1080p s mikrofonom""",24.37,199,4,10
77,Mikrofon USB kondenzatorski,"""Kondenzatorski mikrofon USB za streaming i podcast""",39.54,179,4,10
78,Set odvijača 6kom,"""Precizni odvijači ravni i križni, set 6 komada""",5.76,208,3,7
79,Čekić stolarski 500g,"""Stolarski čekić s drvenom drškom, 500 g""",7.28,131,3,8
80,Kliješta kombinirana 180mm,"""Kombinirana kliješta 180 mm s ergonomskom drškom""",6.45,172,3,8
81,Ljepilo stik 21g,"""Ljepilo u stiku 21 g za papir i karton""",1.14,203,5,13
82,Bilježnica spiralna A5 200l,"""Spiralna bilježnica A5, 200 listova, linija""",2.07,348,5,13
83,Registrator A4 široki,"""Kartonski registrator A4 širokog hrpta 75 mm""",2.55,276,5,13
84,Korektor traka 8m,"""Korektor traka, širina 5 mm, dužina 8 m""",1.49,198,5,13
85,Spajalice 28mm 1000kom,"""Metalne spajalice 28 mm, kutija 1000 komada""",1.35,142,5,13
86,Pastele uljne 24 boje,"""Umjetničke uljne pastele, set 24 boje""",4.79,66,5,13
87,Markeri bijela ploča 4kom,"""Set markera za bijelu ploču, 4 boje""",3.62,155,5,13
88,Kutija kartonska 40x30x30,"""Valovita kartonska kutija 40×30×30 cm""",2.21,117,5,13
89,Folija streč 500mm,"""Industrijska streč folija, širine 500 mm, težine 1.5 kg""",5.94,132,3,8
90,Čaj zeleni 30 filtera,"""Zeleni čaj u filter vrećicama, 30 komada""",2.65,312,2,5
91,Začin mediteran 40g,"""Suha začinska mješavina mediteranskih biljaka, 40 g""",1.43,184,1,2
92,Ulje bučino 0.5l,"""Hladno prešano bučino ulje, 0.5 l""",10.31,69,1,3
93,Ocat jabučni 1l,"""Prirodni jabučni ocat, 1 l""",1.58,312,1,3
94,Kukuruz šećerac 340g,"""Konzervirani slatki kukuruz, 340 g""",1.29,236,1,3
95,Grah crveni 400g,"""Konzervirani crveni grah u slanoj otopini, 400 g""",1.37,211,1,3
96,Marmelada marelica 370g,"""Marmelada od marelice, 370 g""",3.42,95,1,3
97,Pesto genovese 190g,"""Umak pesto Genovese s bosiljkom i pinjolima, 190 g""",3.76,122,1,3
98,Pizza smrznuta 400g,"""Smrznuta pizza margherita, 400 g""",2.94,135,1,3
99,Sladoled vanilija 1l,"""Kremasti sladoled od vanilije, obiteljsko pakiranje 1 l""",4.17,87,1,3
100,Krastavci kiseli 670g,"""Kiseli krastavci u staklenci, 670 g""",2.21,148,1,3
101,Čokoladni krem namaz 350g,"""Čokoladni krem od lješnjaka, staklenka 350 g""",3.84,212,1,3
102,Muesli voćni 500g,"""Mješavina müsli sa suhim voćem, pakiranje 500 g""",2.95,178,1,4
103,Suncokretovo ulje 1l,"""Rafinirano suncokretovo ulje, PET boca 1 l""",1.49,301,1,4
104,Šećer kristal 1kg,"""Bijeli kristalni šećer, vrećica 1 kg""",1.05,356,1,4
105,Brašno glatko T-550 1kg,"""Pšenično glatko brašno tip 550, vrećica 1 kg""",0.89,268,1,4
106,Sardine u ulju 125g,"""Sardine u biljnom ulju, konzerva 125 g""",1.27,193,1,4
107,Tuna komadi u salamuri 185g,"""Komadi tune u laganoj salamuri, konzerva 185 g""",2.12,222,1,4
108,Kečap blagi 500g,"""Blagi kečap od rajčice, boca 500 g""",1.36,267,1,4
109,Majoneza delikates 400g,"""Delikates majoneza, staklenka 400 g""",2.59,123,1,4
110,Slani štapići 250g,"""Hrskavi slani štapići, pakiranje 250 g""",1.11,319,1,4
111,Krekeri integralni 200g,"""Integralni krekeri sa sezamom, 200 g""",1.64,245,1,4
