id,naziv_tvrtke,oib,kontakt_telefon,email
1,RheinTech GmbH,30071167371,+49 89 240 5983,info@rheintech.de
2,AlpenPro GmbH,35723776471,+43 1 620 4579,info@alpenpro.at
3,Bleu Industrie SAS,78622693679,+33 1 84 09 2763,info@bleu-industrie.fr
4,Sole Auto S.p.A.,77054112633,+39 02 947 3654,info@soleauto.it
5,Rápido Logística S.L.,12319522765,+34 91 782 3456,info@rapido-logistica.es
6,Brze Usluge d.o.o.,91234567891,+385 97 9203 582,info@brze-usluge.hr
7,Golden Tech BV,48498311481,+31 20 794 6832,info@goldentech.nl
8,Plava Trgovina d.o.o.,12563478902,+385 91 1667 449,info@plava-trgovina.hr
9,Silver Networks AG,76006256313,+41 44 510 7932,info@silvernetworks.ch
10,Crystal Trading NV,15367143116,+32 2 463 0285,info@crystaltrading.be
11,Blue Auto Ltd.,14492589887,+44 20 7094 5813,info@blueauto.co.uk
12,Sunčana Prehrana d.o.o.,98765432103,+385 92 3561 993,info@suncana-prehrana.hr
13,Nova Logisztika Kft.,81306388245,+36 1 789 2354,info@nova-logisztika.hu
14,Prime Metals s.r.o.,15961614091,+420 2 910 4632,info@prime-metals.cz
15,Future Trading A/S,17683570569,+45 33 887 5041,info@futuretrading.dk
16,Alfa Svetovanje d.o.o.,14601229177,+386 1 600 9213,info@alfa-svetovanje.si
17,Zelena Farmacija d.o.o.,45678912304,+385 47 573 143,info@zelena-farmacija.hr
18,Sun Konsult AB,33490810394,+46 8 501 76342,info@sunkonsult.se
19,Quantum Commodities Lda.,17449850911,+351 21 603 4589,info@quantumcommodities.pt
20,Golden Systems AS,87680728363,+47 23 379 8046,info@goldensystems.no
21,Prime Industries Sp. z o.o.,62490115781,+48 22 487 0956,info@primeindustries.pl
22,Dynamic Foods UAB,17562003539,+370 5 213 8640,info@dynamicfoods.lt
23,Alfa Mediji d.o.o.,67890123405,+385 1 396 432,info@alfa-mediji.hr
24,Blue Consulting Oy,48451690643,+358 9 612 5437,info@blueconsulting.fi
25,Silver Solutions SIA,98156920411,+371 6 701 8352,info@silversolutions.lv
26,Nova Electronics OÜ,71510612139,+372 6 121 974,info@novaelectronics.ee
27,Ocean Komerc d.o.o.,63899665485,+387 33 921 784,info@ocean-komerc.ba
28,Zelene Mreže d.o.o.,34567891206,+385 98 5116 546,info@zelene-mreze.hr
29,Prime Textiles AE,20325815958,+30 210 704 3928,info@primetextiles.gr
30,Zlatna Proizvodnja d.o.o.,10987654307,+385 99 4728 829,info@zlatna-proizvodnja.hr
31,Sun Services EOOD,80302618106,+359 2 903 6812,info@sunservices.bg
32,Rapid Metals TOV,95305277773,+380 44 463 2807,info@rapidmetals.ua
33,Silver Enerji A.Ş.,53704051006,+90 212 395 8467,info@silverenerji.com.tr
34,Alfa Logistika d.o.o.,23456789108,+385 91 6152 711,info@alfa-logistika.hr
35,Crystal Services SARL,32768602143,+352 26 204 893,info@crystalservices.lu
36,Ocean Media ehf.,15775939819,+354 510 8736,info@oceanmedia.is
37,Quantum Tech Inc.,36319979483,+1 415 391 2743,info@quantumtech.com
38,Plavi Tekstil d.o.o.,56789012309,+385 31 946 620,info@plavi-tekstil.hr
39,Dynamic Auto S.A. de C.V.,11208908563,+52 55 4169 5832,info@dynamicauto.mx
40,Future Networks Ltd.,73209050131,+1 416 798 2306,info@futurenetworks.ca
41,Kristalna Farmacija d.o.o.,89012345610,+385 97 3990 238,info@kristalna-farmacija.hr
42,Ocean Services LLC,80905871932,+375 17 332 4785,info@oceanservices.by
43,Green Commodities Ltd.,35406270064,+357 22 674 983,info@greencommodities.com.cy
44,Apex Electronics KK,60780149473,+81 3 4580 2974,info@apexelectronics.jp
45,Vision Systems Pty Ltd,60373284994,+61 3 8652 7941,info@visionsystems.com.au
46,Golden Foods d.o.o.,47972893032,+385 51 754 290,info@golden.mail.hr
47,Silver Media d.o.o.,39452037023,+385 98 4800 441,info@silver.example.hr
48,Sun Metals d.o.o.,87074596331,+385 47 228 751,info@sun.example.hr
49,Alpha Manufacturing d.o.o.,27098484506,+385 20 562 924,info@alpha.company.com
50,Nova Services d.o.o.,26236601314,+385 99 2693 321,info@nova.biz.hr
