id,datum,opis,iznos_troska,id_stroj,id_zaposlenik
1,2025-04-01,Testiran sustav uzemljenja – svi spojevi unutar norme.,100,2,3
2,2025-04-01,Kalibriran mjerni instrument za naponsku regulaciju.,200,2,14
3,2025-04-01,Zamijenjena istrošena vilica na viličaru.,600,5,3
4,2025-04-01,Podmazani ležajevi valjaka duž cijele trake.,100,6,14
5,2025-04-02,Očišćen senzor prisutnosti proizvoda – ponovno ispravno očitava.,70,6,14
6,2025-04-04,Izvršena provjera i dopuna rashladne tekućine u sustavu hlađenja motora.,70,5,14
7,2025-04-04,Provjeren i podešen pritisak u gumama svih kotača viličara.,30,9,3
8,2025-04-04,Podesena zategnutost lanca na povratnoj strani trake.,120,1,3
9,2025-04-05,Provjeren i podešen pritisak u gumama svih kotača viličara.,30,4,14
10,2025-04-05,Zamijenjena istrošena vilica na viličaru.,600,3,3
11,2025-04-06,Zamijenjena istrošena vilica na viličaru.,600,5,3
12,2025-04-06,Podesena zategnutost lanca na povratnoj strani trake.,120,6,3
13,2025-04-06,Očišćen senzor prisutnosti proizvoda – ponovno ispravno očitava.,70,1,3
14,2025-04-08,Zamijenjen neispravan osigurač.,150,10,14
15,2025-04-08,Očišćen i podmazan lanac za podizanje tereta.,100,9,3
16,2025-04-08,Izvršena provjera i dopuna rashladne tekućine u sustavu hlađenja motora.,70,4,14
17,2025-04-09,Testiran sustav uzemljenja – svi spojevi unutar norme.,100,7,14
18,2025-04-09,Podesena zategnutost lanca na povratnoj strani trake.,120,6,3
19,2025-04-09,Podmazani ležajevi valjaka duž cijele trake.,100,1,14
20,2025-04-10,Provjeren i podešen pritisak u gumama svih kotača viličara.,30,3,3
21,2025-04-10,Zamijenjena istrošena vilica na viličaru.,600,5,14
22,2025-04-10,Očišćen i podmazan lanac za podizanje tereta.,100,4,3
23,2025-04-12,Zamijenjen uljni filter i motorno ulje na viličaru.,200,4,14
24,2025-04-13,Kalibriran mjerni instrument za naponsku regulaciju.,200,2,14
25,2025-04-13,Zamijenjena oštećena traka na ulaznom dijelu transportera.,700,8,14
26,2025-04-13,Zamijenjen neispravan osigurač.,150,10,14
27,2025-04-15,Zamijenjen motor pogona na transportnoj traci.,1500,1,14
28,2025-04-15,Zamijenjena istrošena vilica na viličaru.,600,4,3
29,2025-04-16,Očišćen i podmazan lanac za podizanje tereta.,100,4,3
30,2025-04-16,Zamijenjen neispravan osigurač.,150,7,14
31,2025-04-16,Zamijenjena oštećena traka na ulaznom dijelu transportera.,700,6,14
32,2025-04-17,Provjeren i podešen pritisak u gumama svih kotača viličara.,30,9,14
33,2025-04-17,Zamijenjen uljni filter i motorno ulje na viličaru.,200,5,14
34,2025-04-22,Zamijenjen neispravan osigurač.,150,7,14
35,2025-04-22,Zamijenjena oštećena traka na ulaznom dijelu transportera.,700,8,3
36,2025-04-22,Zamijenjena istrošena vilica na viličaru.,600,3,14
37,2025-04-23,Testiran sustav uzemljenja – svi spojevi unutar norme.,100,2,14
38,2025-04-23,Provjeren i podešen pritisak u gumama svih kotača viličara.,30,3,3
39,2025-04-24,Zamijenjen uljni filter i motorno ulje na viličaru.,200,5,14
40,2025-04-25,Zamijenjen motor pogona na transportnoj traci.,1500,8,14
41,2025-04-26,Zamijenjen uljni filter i motorno ulje na viličaru.,200,9,3
42,2025-04-26,Provjeren i podešen pritisak u gumama svih kotača viličara.,30,3,14
43,2025-04-26,Testiran sustav uzemljenja – svi spojevi unutar norme.,100,2,3
44,2025-04-26,Zamijenjen motor pogona na transportnoj traci.,1500,8,14
45,2025-04-27,Testiran sustav uzemljenja – svi spojevi unutar norme.,100,2,14
46,2025-04-27,Podesena zategnutost lanca na povratnoj strani trake.,120,8,3
47,2025-04-30,Provjerena funkcionalnost svih sklopki i sigurnosnih stop tipki.,120,7,14
48,2025-04-30,Zamijenjeni osigurači u napajanju PLC sustava.,80,7,3
49,2025-04-30,Podmazani ležajevi valjaka duž cijele trake.,100,6,14
50,2025-04-30,Provjerena funkcionalnost svih sklopki i sigurnosnih stop tipki.,120,2,3
