id,naziv,opis
1,Prehrambeni proizvodi,"""Pakirani i svježi prehrambeni proizvodi za svakodnevnu prehranu"""
2,Pića,"""Bezalkoholna i alkoholna pića u bocama, limenkama i kartonima"""
3,Higijena i kućanstvo,"""Proizvodi za osobnu higijenu i održavanje čistog doma"""
4,Elektronika,"""Mala potrošačka elektronika i računalni pribor"""
5,Uredski materijal,"""Potrošni materijal i pribor za ured i školu"""
6,Sport i rekreacija,"""Oprema i dodaci za sport i slobodno vrijeme"""
7,Igračke,"""Dječje igračke, društvene i edukativne igre"""
8,Kućni ljubimci,"""Hrana, oprema i pribor za kućne ljubimce"""
9,Auto i moto,"""Potrošni materijal i dodatna oprema za automobile i motocikle"""
10,Kućni dekor,"""Dekorativni predmeti i tekstil za uređenje interijera"""
11,Vrt i alat,"""Alati, sjemenje i potrošni materijal za vrtlarstvo"""
12,Kuhinjski aparati,"""Mali električni aparati za pripremu hrane i pića"""
13,Knjige,"""Beletristika, publicistika, priručnici i dječje knjige"""
14,Odjeća i obuća,"""Tekstilni i kožni odjevni predmeti, obuća i modni dodaci"""
15,Namještaj,"""Unutarnji i vanjski namještaj za dom i ured"""
16,Kozmetika i make-up,"""Preparativna i dekorativna kozmetika te pribor"""
17,Putovanja i prtljaga,"""Koferi, torbe i dodaci za putovanja"""
18,Bebe i dječja oprema,"""Potrepštine i namještaj za bebe i malu djecu"""
19,Hobby i kreativni materijali,"""Materijali i alati za hobije i kreativne projekte"""
20,Zdravlje i medicinska pomagala,"""Osobna zdravstvena oprema i medicinska pomagala"""
21,Električni alati,"""Električni i akumulatorski alati za radionicu"""
22,Fotografija i video,"""Oprema i pribor za fotografiju i video produkciju"""
23,Glazbeni instrumenti,"""Instrumenti, pribor i oprema za muziciranje"""
24,Pametni dom,"""IoT uređaji i senzori za automatizaciju doma"""
25,Video igre i konzole,"""Konzole, igre i dodaci za gaming"""
26,Nosiva tehnologija,"""Pametni satovi, fitness trackeri i druga nosiva elektronika"""
27,Kancelarijska oprema,"""Hardverska oprema i strojevi za urede i printanje"""
28,Vrtni namještaj i oprema,"""Namještaj i oprema za vanjske prostore"""
29,Profesionalna čistoća,"""Sredstva, strojevi i pribor za profesionalno čišćenje"""
30,Solar i energija,"""Solarni paneli, baterije i oprema za obnovljive izvore energije"""
