id,naziv_tvrtke,oib,kontakt_telefon,email,drzava,grad,ulica,postanski_broj
1,Orion Trade d.o.o.,83749478913,+385 1 338 8496,info@orion-trade.hr,Hrvatska,Zagreb,Radnička cesta 45,10000
2,Aurora Export d.o.o.,87682810754,+385 21 753 2871,info@aurora-export.hr,Hrvatska,Split,Poljička cesta 37,21000
3,Delta Supplies d.o.o.,46952721923,+385 51 112 2691,info@delta-supplies.hr,Hrvatska,Rijeka,Riva 10,51000
4,Vega Solutions d.o.o.,25187984005,+385 31 769 7848,info@vega-solutions.hr,Hrvatska,Osijek,Kapucinska ulica 8,31000
5,Terra Logistic d.o.o.,58834555400,+385 42 118 4514,info@terra-logistic.hr,Hrvatska,Varaždin,Zagrebačka 11,42000
6,Adria Tech d.o.o.,41003814027,+385 23 727 0482,info@adria-tech.hr,Hrvatska,Zadar,Ulica bana Jelačića 22,23000
7,Solaris Agro d.o.o.,61937947921,+385 52 914 8932,info@solaris-agro.hr,Hrvatska,Pula,Carrarina 3,52100
8,Magnus Foods d.o.o.,60884600851,+385 35 628 8095,info@magnus-foods.hr,Hrvatska,Slavonski Brod,Masarykova 19,35000
9,Borealis Auto d.o.o.,20215727379,+385 22 801 5430,info@borealis-auto.hr,Hrvatska,Šibenik,Obala hrvatske mornarice 4,22000
10,Vector Media d.o.o.,77239597077,+385 47 491 1718,info@vector-media.hr,Hrvatska,Karlovac,Maksimilijana Vrhovca 2,47000
11,Polaris Systems d.o.o.,83169426187,+385 40 327 8248,info@polaris-systems.hr,Hrvatska,Čakovec,Matice hrvatske 5,40000
12,Feniks Metal d.o.o.,29447629889,+385 48 738 3465,info@feniks-metal.hr,Hrvatska,Koprivnica,Florijanski trg 14,48000
13,Rubikon Pharma d.o.o.,18905472494,+385 32 887 1331,info@rubikon-pharma.hr,Hrvatska,Vinkovci,Gundulićeva 7,32100
14,Helios Networks d.o.o.,14576679112,+385 20 609 8393,info@helios-networks.hr,Hrvatska,Dubrovnik,Ulica od Puča 18,20000
