id,id_artikl,kolicina,razlog,datum,id_zaposlenik
1,237,8,Smanjenje zaliha,2025-04-01,43
2,160,15,Neispravni povrat od kupca,2025-04-01,12
3,462,12,Prekomjerna nabava,2025-04-01,11
4,431,5,Zastarjelost,2025-04-01,10
5,53,6,Promotivna ili uzorkovana upotreba,2025-04-02,41
6,93,12,Smanjenje zaliha,2025-04-02,11
7,397,7,Smanjenje zaliha,2025-04-04,11
8,364,15,Zastarjelost,2025-04-04,32
9,263,11,Krađa ili gubitak,2025-04-05,32
10,182,12,Promotivna ili uzorkovana upotreba,2025-04-06,10
11,68,10,Pogrešno evidentirana zaliha,2025-04-06,32
12,230,12,Promotivna ili uzorkovana upotreba,2025-04-06,12
13,20,3,Promotivna ili uzorkovana upotreba,2025-04-08,12
14,497,4,Promjena u poslovanju,2025-04-09,10
15,483,8,Povrat ili greška u proizvodu,2025-04-09,43
16,229,12,Zastarjelost,2025-04-09,10
17,226,13,Smanjenje zaliha,2025-04-09,11
18,463,3,Pogrešno evidentirana zaliha,2025-04-09,32
19,175,10,Pogrešno evidentirana zaliha,2025-04-09,11
20,390,8,Zastarjelost,2025-04-09,32
21,20,9,Oštećenje,2025-04-12,11
22,177,9,Neispravni povrat od kupca,2025-04-12,10
23,133,9,Pogrešno evidentirana zaliha,2025-04-13,43
24,363,9,Promotivna ili uzorkovana upotreba,2025-04-15,11
25,470,5,Promjena u poslovanju,2025-04-15,11
26,70,2,Pogrešno evidentirana zaliha,2025-04-16,12
27,486,2,Oštećenje,2025-04-16,12
28,444,4,Oštećenje,2025-04-17,10
29,317,12,Zastarjelost,2025-04-18,12
30,477,14,Povrat ili greška u proizvodu,2025-04-18,12
31,374,1,Smanjenje zaliha,2025-04-20,43
32,194,14,Povrat ili greška u proizvodu,2025-04-20,10
33,439,14,Pogrešno evidentirana zaliha,2025-04-22,10
34,87,5,Prekomjerna nabava,2025-04-22,32
35,56,15,Smanjenje zaliha,2025-04-22,43
36,449,11,Povrat ili greška u proizvodu,2025-04-22,43
37,19,2,Pogrešno evidentirana zaliha,2025-04-22,10
38,1,3,Povrat ili greška u proizvodu,2025-04-23,32
39,192,13,Prekomjerna nabava,2025-04-23,32
40,487,9,Neispravni povrat od kupca,2025-04-24,10
41,51,7,Zastarjelost,2025-04-25,41
42,409,14,Prekomjerna nabava,2025-04-26,10
43,181,12,Povrat ili greška u proizvodu,2025-04-26,12
44,141,15,Oštećenje,2025-04-27,32
45,232,12,Smanjenje zaliha,2025-04-27,43
46,309,8,Krađa ili gubitak,2025-04-27,41
47,290,1,Smanjenje zaliha,2025-04-29,12
48,131,7,Neispravni povrat od kupca,2025-04-30,32
49,253,15,Oštećenje,2025-04-30,32
50,147,4,Neispravni povrat od kupca,2025-04-30,43
