id,id_narudzba_dobavljacu,id_artikl,kolicina
1,1,199,200
2,1,195,80
3,1,197,80
4,1,200,200
5,1,191,200
6,1,198,125
7,2,460,80
8,2,452,140
9,2,453,110
10,2,458,155
11,2,455,50
12,2,456,110
13,2,451,185
14,2,457,185
15,2,459,110
16,2,454,200
17,3,7,140
18,3,4,65
19,3,5,185
20,3,22,80
21,3,25,140
22,3,26,110
23,3,23,95
24,3,6,200
25,3,27,185
26,3,24,200
27,4,395,140
28,4,391,140
29,4,393,65
30,4,398,95
31,4,394,185
32,4,397,50
33,4,400,185
34,4,396,140
35,5,46,155
36,5,77,80
37,5,48,140
38,5,71,80
39,5,73,110
40,5,74,125
41,5,75,110
42,5,72,140
43,5,76,125
44,5,47,50
45,6,90,65
46,6,61,80
47,6,65,170
48,6,13,65
49,6,11,110
50,6,14,140
51,7,181,50
52,7,182,95
53,7,183,185
54,7,190,125
55,7,184,155
56,7,186,125
57,7,185,110
58,7,187,65
59,8,30,80
60,8,31,185
61,8,32,50
62,8,35,185
63,8,33,110
64,8,34,80
65,8,45,95
66,8,1,125
67,8,36,140
68,9,151,200
69,9,155,110
70,9,153,200
71,9,154,200
72,9,156,50
73,10,367,185
74,10,365,95
75,10,370,65
76,10,362,65
77,10,369,200
78,10,361,110
79,10,368,95
80,10,364,65
81,11,431,200
82,11,436,65
83,11,438,125
84,11,439,50
85,11,440,170
86,12,99,170
87,12,101,50
88,12,95,80
89,12,98,170
90,12,100,170
91,12,96,50
92,13,38,110
93,13,42,110
94,13,37,110
95,13,40,155
96,13,50,50
97,13,39,80
98,13,43,170
99,13,49,170
100,13,44,95
101,14,273,185
102,14,280,95
103,14,276,50
104,14,271,200
105,14,277,65
106,14,278,155
107,14,272,50
108,14,275,65
109,14,274,50
110,15,277,65
111,15,276,170
112,15,273,80
113,15,272,110
114,15,279,110
115,15,278,170
116,15,274,185
117,16,37,80
118,16,44,110
119,16,43,170
120,16,49,170
121,16,42,50
122,17,152,170
123,17,159,155
124,17,153,140
125,17,155,170
126,17,154,125
127,17,160,110
128,18,345,155
129,18,349,125
130,18,344,125
131,18,348,140
132,18,341,200
133,18,342,155
134,19,127,170
135,19,120,170
136,19,125,185
137,19,119,80
138,19,121,140
139,20,113,185
140,20,114,155
141,20,149,95
142,20,112,50
143,20,150,125
144,21,404,125
145,21,405,50
146,21,407,50
147,21,408,170
148,21,410,125
149,21,406,140
150,21,409,125
151,22,138,185
152,22,140,65
153,22,134,80
154,22,139,155
155,22,136,95
156,23,239,65
157,23,231,110
158,23,240,155
159,23,236,125
160,23,238,200
161,23,232,65
162,23,233,140
163,24,437,185
164,24,431,80
165,24,439,185
166,24,440,80
167,24,435,65
168,24,434,185
169,24,432,185
170,24,433,125
171,25,406,200
172,25,407,155
173,25,409,125
174,25,401,110
175,25,410,125
176,25,402,185
177,25,404,200
178,25,405,65
179,25,408,155
180,26,300,185
181,26,294,80
182,26,293,155
183,26,295,185
184,26,299,110
185,26,296,110
186,26,298,125
187,26,292,65
188,26,297,65
189,26,291,50
190,27,248,185
191,27,246,155
192,27,249,110
193,27,241,155
194,27,247,80
195,27,245,200
196,27,242,65
197,27,244,110
198,28,243,125
199,28,249,110
200,28,245,80
201,28,250,65
202,28,248,185
203,28,244,110
204,28,246,110
205,28,247,65
206,29,218,80
207,29,216,125
208,29,211,125
209,29,212,80
210,29,213,80
211,29,219,185
212,29,215,170
213,29,217,155
214,29,220,170
215,29,214,80
216,30,103,170
217,30,102,65
218,30,104,140
219,30,106,185
220,30,111,95
221,31,36,185
222,31,31,80
223,31,35,50
224,31,1,185
225,31,33,155
226,31,34,110
227,31,30,110
228,32,368,155
229,32,369,170
230,32,367,125
231,32,363,155
232,32,364,155
233,33,204,50
234,33,205,155
235,33,209,50
236,33,210,155
237,33,202,110
238,33,208,140
239,33,201,155
240,33,206,155
241,33,207,170
242,34,214,80
243,34,220,155
244,34,215,155
245,34,218,200
246,34,217,110
247,35,167,155
248,35,165,65
249,35,169,155
250,35,162,50
251,35,168,170
252,35,164,95
253,35,161,185
254,35,170,110
255,35,163,140
256,35,166,155
257,36,184,50
258,36,182,80
259,36,189,80
260,36,183,185
261,36,186,155
262,36,185,200
263,36,187,110
264,36,188,155
265,36,190,155
266,36,181,50
267,37,269,185
268,37,267,155
269,37,270,50
270,37,264,65
271,37,265,65
272,37,266,110
273,37,261,125
274,38,128,125
275,38,122,140
276,38,119,140
277,38,124,140
278,38,125,65
279,38,121,185
280,38,127,95
281,39,106,110
282,39,103,110
283,39,110,200
284,39,107,110
285,39,105,50
286,40,166,125
287,40,165,65
288,40,163,200
289,40,167,200
290,40,161,50
291,40,168,50
292,40,170,95
293,40,162,110
294,40,169,95
295,41,417,170
296,41,411,125
297,41,413,80
298,41,419,50
299,41,420,140
300,41,414,170
301,41,416,200
302,41,418,140
303,42,320,140
304,42,312,80
305,42,313,125
306,42,314,110
307,42,319,125
308,42,316,80
309,42,318,185
310,43,439,140
311,43,440,110
312,43,432,110
313,43,433,155
314,43,435,155
315,43,431,125
316,43,434,80
317,44,467,110
318,44,464,80
319,44,469,80
320,44,463,65
321,44,461,140
322,44,462,200
323,45,229,200
324,45,226,50
325,45,224,140
326,45,228,50
327,45,225,155
328,45,223,65
329,45,230,95
330,45,222,80
331,46,467,50
332,46,462,65
333,46,469,110
334,46,468,65
335,46,461,155
336,46,463,200
337,46,465,95
338,46,464,155
339,46,466,155
340,46,470,95
341,47,71,110
342,47,75,65
343,47,73,170
344,47,76,50
345,47,77,125
346,48,469,80
347,48,470,50
348,48,464,200
349,48,466,50
350,48,468,140
351,48,467,185
352,48,465,80
353,48,461,170
354,48,463,125
355,48,462,200
356,49,11,155
357,49,63,95
358,49,65,125
359,49,90,185
360,49,61,155
361,49,12,95
362,49,13,170
363,49,64,110
364,49,62,140
365,49,14,95
366,50,427,80
367,50,425,80
368,50,424,200
369,50,426,140
370,50,422,155
