id,id_narudzba_kupca,id_artikl,kolicina
1,1,158,27
2,1,207,40
3,1,208,20
4,1,205,21
5,1,154,41
6,1,159,16
7,2,491,32
8,2,291,50
9,2,293,48
10,2,296,25
11,2,295,35
12,2,495,15
13,2,500,12
14,3,419,23
15,3,416,32
16,3,412,48
17,3,420,10
18,3,414,24
19,4,433,12
20,4,434,23
21,4,435,18
22,4,437,50
23,4,432,49
24,4,431,26
25,4,436,45
26,4,439,21
27,4,440,12
28,5,440,18
29,5,436,34
30,5,438,39
31,5,433,23
32,5,431,16
33,5,437,40
34,5,434,46
35,5,439,20
36,6,351,20
37,6,352,14
38,6,357,20
39,6,354,12
40,6,360,18
41,6,356,10
42,6,353,16
43,6,358,35
44,6,359,50
45,7,269,40
46,7,267,25
47,7,468,22
48,7,467,33
49,7,469,30
50,7,265,43
51,7,463,25
52,7,465,25
53,7,261,44
54,8,306,30
55,8,302,10
56,8,301,35
57,8,305,46
58,8,308,29
59,8,309,50
60,9,418,44
61,9,416,26
62,9,417,42
63,9,420,21
64,9,415,10
65,9,411,30
66,9,419,30
67,10,257,25
68,10,451,24
69,10,258,29
70,10,453,13
71,10,458,20
72,10,456,38
73,10,256,24
74,10,260,34
75,10,254,36
76,11,112,35
77,11,117,12
78,11,9,20
79,11,21,26
80,11,118,10
81,11,95,24
82,11,91,11
83,11,18,27
84,12,171,32
85,12,180,36
86,12,225,34
87,12,230,39
88,12,227,40
89,12,178,42
90,12,221,33
91,12,222,36
92,13,70,38
93,13,79,39
94,13,5,22
95,13,146,19
96,13,7,14
97,13,148,49
98,13,142,22
99,13,27,29
100,14,304,15
101,14,302,15
102,14,301,26
103,14,309,23
104,14,305,16
105,14,307,23
106,15,198,23
107,15,250,10
108,15,243,14
109,15,192,40
110,15,193,47
111,15,194,21
112,15,248,23
113,16,366,11
114,16,361,20
115,16,369,38
116,16,367,10
117,16,363,11
118,16,370,29
119,16,364,34
120,16,368,22
121,16,365,24
122,17,387,27
123,17,382,30
124,17,381,16
125,17,385,11
126,17,384,18
127,17,383,20
128,17,388,42
129,18,219,14
130,18,214,13
131,18,215,23
132,18,166,50
