id,datum_narudzbe,broj_narudzbe,status_narudzbe,id_dobavljac,id_zaposlenik
1,2025-04-01,DOB-0101,Dostavljeno,22,43
2,2025-04-02,DOB-0102,Na čekanju,25,43
3,2025-04-03,DOB-0103,Naručeno,6,10
4,2025-04-03,DOB-0104,Na čekanju,43,43
5,2025-04-03,DOB-0105,U obradi,10,10
6,2025-04-03,DOB-0106,Dostavljeno,5,11
7,2025-04-04,DOB-0107,Dostavljeno,20,11
8,2025-04-04,DOB-0108,Naručeno,9,11
9,2025-04-04,DOB-0109,Dostavljeno,14,43
10,2025-04-05,DOB-0110,U tranzitu,40,12
11,2025-04-05,DOB-0111,Dostavljeno,47,32
12,2025-04-06,DOB-0112,Naručeno,3,12
13,2025-04-06,DOB-0113,U obradi,12,11
14,2025-04-06,DOB-0114,Na čekanju,28,43
15,2025-04-08,DOB-0115,Dostavljeno,28,11
16,2025-04-08,DOB-0116,U tranzitu,12,11
17,2025-04-08,DOB-0117,Dostavljeno,14,43
18,2025-04-08,DOB-0118,Dostavljeno,38,12
19,2025-04-08,DOB-0119,U tranzitu,11,10
20,2025-04-09,DOB-0120,Naručeno,50,41
21,2025-04-09,DOB-0121,U obradi,44,12
22,2025-04-11,DOB-0122,Na čekanju,49,41
23,2025-04-11,DOB-0123,Na čekanju,21,12
24,2025-04-12,DOB-0124,Na čekanju,47,11
25,2025-04-12,DOB-0125,Na čekanju,44,12
26,2025-04-13,DOB-0126,Dostavljeno,32,12
27,2025-04-13,DOB-0127,U tranzitu,23,32
28,2025-04-15,DOB-0128,U tranzitu,23,32
29,2025-04-16,DOB-0129,U obradi,17,12
30,2025-04-16,DOB-0130,U tranzitu,4,32
31,2025-04-16,DOB-0131,Na čekanju,9,11
32,2025-04-18,DOB-0132,Naručeno,40,43
33,2025-04-19,DOB-0133,Naručeno,15,11
34,2025-04-19,DOB-0134,U tranzitu,17,41
35,2025-04-20,DOB-0135,U obradi,16,10
36,2025-04-22,DOB-0136,Dostavljeno,20,43
37,2025-04-23,DOB-0137,U obradi,26,32
38,2025-04-23,DOB-0138,U tranzitu,11,43
39,2025-04-23,DOB-0139,U obradi,4,32
40,2025-04-24,DOB-0140,Naručeno,16,10
41,2025-04-24,DOB-0141,U tranzitu,45,11
42,2025-04-26,DOB-0142,Naručeno,35,41
43,2025-04-26,DOB-0143,Dostavljeno,47,12
44,2025-04-27,DOB-0144,U obradi,27,32
45,2025-04-27,DOB-0145,U obradi,19,43
46,2025-04-27,DOB-0146,U obradi,27,32
47,2025-04-27,DOB-0147,Dostavljeno,10,10
48,2025-04-30,DOB-0148,U tranzitu,27,12
49,2025-04-30,DOB-0149,U tranzitu,5,10
50,2025-04-30,DOB-0150,U obradi,46,43
