id,datum_narudzbe,broj_narudzbe,status_narudzbe,datum_placanja,id_kupac,id_prijevoznik
1,2025-04-01,KUP-1001,Poslano,,26,20
2,2025-04-02,KUP-1002,Zaprimljeno,,19,25
3,2025-04-02,KUP-1003,Poslano,,23,21
4,2025-04-04,KUP-1004,Plaćeno,2025-05-27,17,9
5,2025-04-04,KUP-1005,Plaćeno,2025-05-28,19,23
6,2025-04-04,KUP-1006,Plaćeno,2025-05-20,27,2
7,2025-04-05,KUP-1007,Poslano,,1,5
8,2025-04-06,KUP-1008,Poslano,,27,16
9,2025-04-07,KUP-1009,Isporučeno,,38,10
10,2025-04-07,KUP-1010,Poslano,,12,1
11,2025-04-08,KUP-1011,Plaćeno,2025-05-16,36,24
12,2025-04-08,KUP-1012,Obrada,,33,17
13,2025-04-08,KUP-1013,Plaćeno,2025-05-31,14,1
14,2025-04-09,KUP-1014,Plaćeno,2025-05-28,2,9
15,2025-04-10,KUP-1015,Obrada,,40,2
16,2025-04-11,KUP-1016,Plaćeno,2025-05-03,43,11
17,2025-04-12,KUP-1017,Obrada,,50,27
18,2025-04-13,KUP-1018,Poslano,,9,17
19,2025-04-13,KUP-1019,Zaprimljeno,,34,34
20,2025-04-15,KUP-1020,Poslano,,4,9
21,2025-04-16,KUP-1021,Poslano,,11,29
22,2025-04-16,KUP-1022,Poslano,,34,10
23,2025-04-16,KUP-1023,Plaćeno,2025-05-06,43,27
24,2025-04-16,KUP-1024,Isporučeno,,45,14
25,2025-04-16,KUP-1025,Plaćeno,2025-05-29,43,18
26,2025-04-17,KUP-1026,Zaprimljeno,,11,23
27,2025-04-19,KUP-1027,Obrada,,23,17
28,2025-04-19,KUP-1028,Isporučeno,,36,30
29,2025-04-20,KUP-1029,Obrada,,12,29
30,2025-04-21,KUP-1030,Isporučeno,,46,2
31,2025-04-22,KUP-1031,Plaćeno,2025-05-14,45,35
32,2025-04-22,KUP-1032,Obrada,,23,25
33,2025-04-22,KUP-1033,Isporučeno,,21,9
34,2025-04-23,KUP-1034,Zaprimljeno,,48,26
35,2025-04-23,KUP-1035,Plaćeno,2025-05-24,11,5
36,2025-04-23,KUP-1036,Plaćeno,2025-05-27,12,4
37,2025-04-23,KUP-1037,Plaćeno,2025-05-23,3,19
38,2025-04-23,KUP-1038,Poslano,,8,17
39,2025-04-25,KUP-1039,Isporučeno,,22,30
40,2025-04-25,KUP-1040,Plaćeno,2025-05-07,41,12
41,2025-04-25,KUP-1041,Plaćeno,2025-05-20,5,3
42,2025-04-26,KUP-1042,Obrada,,48,31
43,2025-04-27,KUP-1043,Plaćeno,2025-05-25,35,3
44,2025-04-28,KUP-1044,Plaćeno,2025-05-24,46,1
45,2025-04-28,KUP-1045,Poslano,,27,10
46,2025-04-28,KUP-1046,Zaprimljeno,,3,34
47,2025-04-29,KUP-1047,Plaćeno,2025-05-16,38,34
48,2025-04-29,KUP-1048,Zaprimljeno,,46,22
49,2025-04-30,KUP-1049,Plaćeno,2025-05-30,43,19
50,2025-04-30,KUP-1050,Obrada,,8,32
